"Time","Subsystem #1|Substep|box|Boost|ILpv1","Subsystem #1|Substep|box|Node Voltages|S1) VPV1"
0.0,0.009639582533,0.06767936641
5.0E-5,0.0094409533,0.06785951416
1.0E-4,0.009643876576,0.06767542295
1.5E-4,0.009445254001,0.06785002704
2.0E-4,0.009648139269,0.06766333787
2.5E-4,0.00944950556,0.06783666454
3.0E-4,0.00965234319,0.06764947777
3.5E-4,0.009453697514,0.06782253278
4.0E-4,0.009606354063,0.06765106755
4.5E-4,0.009407834245,0.06790417082
5.0E-4,0.009611013216,0.0677547561
5.5E-4,0.009412803959,0.0679455725
6.0E-4,0.009666199019,0.06775763048
6.5E-4,0.009467895496,0.06785004766
7.0E-4,0.009670711792,0.06762353592
7.5E-4,0.009472025151,0.06777752128
8.0E-4,0.009724742895,0.06757343458
8.5E-4,0.009525801563,0.06765768921
9.0E-4,0.009777987648,0.0674203331
9.5E-4,0.009578507465,0.067487818
0.001,0.00977993748,0.06725110873
0.00105,0.009580004597,0.06739991829
0.0011,0.009781195116,0.06720470969
0.00115,0.009581108463,0.06737438113
0.0012,0.009782222108,0.06718998172
0.00125,0.009582101871,0.0673651148
0.0013,0.009733086153,0.06719930299
0.00135,0.009533102993,0.06745770098
0.0014,0.009734625792,0.06731710461
0.00145,0.00953498644,0.06751376696
0.0015,0.009736655621,0.06734145559
0.00155,0.00953710978,0.06752221292
0.0016,0.009788889508,0.06733382318
0.00165,0.00958926235,0.06742518168
0.0017,0.009790497722,0.06720076467
0.00175,0.009590493966,0.06735557343
0.0018,0.009741445206,0.06717950523
0.00185,0.009541449876,0.06743273076
0.0019,0.009442159789,0.06748835084
0.00195,0.009243532562,0.06811406601
0.002,0.009297322625,0.06820742955
0.00205,0.00910089299,0.06869744504
0.0021,0.009357444484,0.06863461843
0.00215,0.009162012703,0.06878351818
0.0022,0.009418544368,0.06856841578
0.00225,0.009272902006,0.06856552329
0.0023,0.00952845027,0.06828419777
0.00235,0.009381881664,0.06824917667
0.0024,0.009636190162,0.06795322398
0.00245,0.009488564334,0.06790783911
0.0025,0.009691465891,0.06761480308
0.00255,0.009492804273,0.06773652788
0.0026,0.009695234316,0.06752501731
0.00265,0.00949634275,0.0676861145
0.0027,0.009698628848,0.06749433432
0.00275,0.009499630989,0.06766511051
0.0028,0.009701845804,0.06747831041
0.00285,0.009502815154,0.06765153308
0.0029,0.009704984875,0.06746606553
0.00295,0.009505943576,0.06763991652
0.003,0.009708074033,0.06745486452
0.00305,0.009508981521,0.0676289498
0.0031,0.00971106849,0.06744413342
0.00315,0.009511960348,0.06761833292
0.0032,0.009714011107,0.0674336693
0.00325,0.009514900057,0.06760791262
0.0033,0.009716915687,0.06742336329
0.00335,0.009517758399,0.06759768857
