"Time","Subsystem #1|Substep|box|CTLs|Vars|Pload1","Subsystem #1|Substep|box|CTLs|Vars|Ppv1"
0.0,817.7617979,821.1881713
5.0E-5,819.3138962,821.2602856
1.0E-4,816.8247301,821.0849365
1.5E-4,818.4335818,821.1790908
2.0E-4,816.0011481,821.019393
2.5E-4,817.6657794,821.1258869
3.0E-4,815.2870699,820.9769889
3.5E-4,814.3899943,821.1218192
4.0E-4,812.1674949,821.0430449
4.5E-4,814.0500028,821.2129945
5.0E-4,811.8673886,821.1194898
5.5E-4,811.1089763,821.3133852
6.0E-4,809.0269959,821.280642
6.5E-4,811.0653497,821.4926425
7.0E-4,809.0142806,821.4396618
7.5E-4,811.0302546,821.6425121
8.0E-4,808.9659037,821.5860305
8.5E-4,810.9780599,821.7878176
9.0E-4,808.9004053,821.7316117
9.5E-4,813.5342099,821.901024
0.001,811.3403004,821.7874665
0.00105,815.8463573,821.9150872
0.0011,813.5421902,821.7669582
0.00115,817.9281956,821.864637
0.0012,815.5256944,821.688203
0.00125,819.8310151,821.7594878
0.0013,817.3757385,821.5569534
0.00135,821.607041,821.6033809
0.0014,819.1026582,821.3759918
0.00145,820.6799803,821.432167
0.0015,818.2323903,821.241197
0.00155,819.8661445,821.3204154
0.0016,817.4728769,821.1461658
0.00165,819.1598236,821.2388001
0.0017,816.8177558,821.0764453
0.00175,818.4929794,821.179839
0.0018,816.1552743,821.0277564
0.00185,817.844763,821.1407663
0.0019,815.5105002,820.9980436
0.00195,817.2138661,821.1198794
0.002,814.8827117,820.9857866
0.00205,816.5995813,821.1157629
0.0021,814.2712179,820.9896378
0.00215,816.0012327,821.1271193
0.0022,813.6753589,821.0083411
0.00225,815.4182919,821.1527297
0.0023,813.0955364,821.0407123
0.00235,814.8523564,821.1914431
0.0024,812.5390584,821.0856326
0.00245,811.7155948,821.2706925
0.0025,809.5543835,821.2309173
0.00255,811.517965,821.4370155
0.0026,809.3927907,821.3787355
0.00265,811.3924121,821.5768197
0.0027,809.3024576,821.5158548
0.00275,813.9086193,821.6804233
0.0028,811.7039844,821.5617776
0.00285,816.1837207,821.6845347
0.0029,813.8698675,821.5314386
0.00295,818.2301019,821.6244101
0.003,815.8134597,821.4431995
0.00305,820.0943303,821.5099667
0.0031,817.6259637,821.3028668
0.00315,821.8340892,821.3449846
0.0032,819.31764,821.1132579
0.00325,823.4565383,821.13182
0.0033,820.8951259,820.8765169
0.00335,824.91595,820.8725212
0.0034,822.2682728,820.5946448
0.00345,823.6760765,820.6027877
0.0035,821.0936993,820.364365
0.00355,819.9261808,820.4278985
0.0036,817.4675169,820.2720062
0.00365,816.4803295,820.3997779
0.0037,814.1807684,820.2994073
0.00375,813.2968683,820.4762668
0.0038,811.1036738,820.4217183
0.00385,810.3357932,820.6404166
0.0039,808.2422284,820.6256408
0.00395,810.2218198,820.8523357
0.004,808.1159191,820.8124445
0.00405,807.4952722,821.0558695
0.0041,805.5294313,821.0708356
0.00415,810.2826018,821.2942052
0.0042,808.1933815,821.2264238
0.00425,810.1905104,821.4275532
0.0043,808.0886313,821.3762197
0.00435,812.7078879,821.552862
0.0044,810.4911719,821.4478766
0.00445,814.9843544,821.5844163
0.0045,812.6587762,821.4455288
0.00455,817.0349498,821.5523133
0.0046,814.6235195,821.3850659
0.00465,818.8953186,821.4652922
0.0047,816.3867902,821.271725
0.00475,820.5516594,821.3268528
0.0048,817.9518422,821.1081687
0.00485,822.0158577,821.1392532
0.0049,819.3302973,820.8964659
0.00495,820.7287721,820.9380745
0.005,818.1036541,820.7327073
0.00505,819.5582554,820.7985495
0.0051,816.9847906,820.6112167
0.00515,818.4886217,820.6918492
0.0052,815.9598136,820.5177853
0.00525,817.507653,820.6105361
0.0053,815.0182842,820.4480595
0.00535,816.6060838,820.5517049
0.0054,814.1521557,820.3998159
0.00545,815.7766731,820.5134731
0.0055,813.3550172,820.3713521
0.00555,812.4027014,820.5229064
0.0056,810.1163002,820.4508038
0.00565,811.9200248,820.6275507
0.0057,809.6326137,820.5408079
0.00575,808.8251115,820.7415817
0.0058,806.671565,820.7156988
0.00585,808.6330844,820.9347061
0.0059,806.4955806,820.8886566
0.00595,811.0941651,821.0654072
0.006,808.8679871,820.9572019
0.00605,813.3574264,821.0896679
0.0061,811.0458788,820.945527
0.00615,815.430997,821.0471958
0.0062,813.0384516,820.874167
0.00625,814.7503293,820.9823776
0.0063,812.4085837,820.8425952
0.00635,814.1414263,820.9706194
0.0064,811.803455,820.8441929
0.00645,813.5525654,820.9822466
0.0065,811.2366152,820.8642949
0.00655,810.3869574,821.0383267
0.0066,808.1787859,820.9878934
0.00665,810.0789931,821.1843575
0.0067,807.8647926,821.1166352
0.00675,812.3859923,821.2729786
0.0068,810.0639973,821.1446787
0.00685,814.4713456,821.2579542
0.0069,812.0868852,821.0946994
0.00695,813.8022095,821.2113678
0.007,811.4225731,821.0795317
0.00705,813.158687,821.2147697
0.0071,810.8239033,821.0952821
0.00715,812.5946795,821.2396672
0.0072,810.2627365,821.1278199
0.00725,812.0463549,821.2788232
0.0073,809.7168324,821.173148
0.00735,814.125956,821.2965121
0.0074,811.7413274,821.1370487
0.00745,816.0658521,821.2213117
0.0075,813.6203876,821.0293877
0.00755,815.2675174,821.1188759
0.0076,812.8618929,820.960129
0.00765,814.5472653,821.0699694
0.0077,812.1760727,820.9254398
0.00775,813.895252,821.0463201
0.0078,811.5539963,820.9113434
0.00785,813.3035512,821.0407229
0.0079,810.9888244,820.9137835
0.00795,812.7660508,821.050626
0.008,810.4752045,820.9309235
0.00805,812.2751948,821.07455
0.0081,809.9849836,820.9614681
0.00815,811.7956767,821.1113039
0.0082,809.5058334,821.0042886
0.00825,811.3314464,821.159804
0.0083,809.0765424,821.0583387
0.00835,810.9292921,821.2190385
0.0084,808.672695,821.1226429
0.00845,810.5383232,821.288064
0.0085,808.3162053,821.1962841
0.00855,812.8199544,821.3327365
0.0086,810.4907561,821.1860804
0.00865,814.8809011,821.2825431
0.0087,812.4874056,821.1026625
0.00875,816.7838021,821.1702191
0.0088,814.2928012,820.9629308
0.00885,821.0521824,820.9666665
0.0089,818.3661735,820.6748671
0.00895,819.7579439,820.6807717
0.009,817.0944921,820.4451068
0.00905,818.5200555,820.4846388
0.0091,815.878788,820.2720912
0.00915,814.7391912,820.3584608
0.0092,812.2707481,820.2233216
0.00925,811.3006068,820.3702798
0.0093,808.9937468,820.2876418
0.00935,810.8045087,820.4523641
0.0094,808.5440528,820.3522309
0.00945,810.4013777,820.5116268
0.0095,808.185906,820.4120795
0.00955,807.4614779,820.6030282
0.0096,805.3941367,820.5682419
0.00965,807.4521601,820.7796044
0.0097,805.4166877,820.7259099
0.00975,807.5065697,820.9289704
0.0098,805.5023503,820.8723298
0.00985,807.5796906,821.0747224
0.0099,805.5600481,821.0186588
0.00995,810.25368,821.188831
0.01,808.1162472,821.0753269
0.01005,812.6800511,821.2034497
0.0101,810.4299702,821.0549915
0.01015,814.8723871,821.1527072
0.0102,812.5305666,820.9754454
0.01025,816.86567,821.0462519
0.0103,814.4395753,820.8423824
0.01035,816.1092901,820.921359
0.0104,813.7362203,820.7523225
0.01045,818.0183532,820.8192185
0.0105,815.5563817,820.6051481
0.01055,817.1811249,820.6718825
0.0106,814.7744448,820.4893818
0.01065,811.2334302,820.6292385
0.0107,809.0831146,820.5860587
0.01075,808.4191964,820.8065714
0.0108,806.4177349,820.788455
0.01085,808.5349014,821.0099981
0.0109,806.5610439,820.9634603
0.01095,808.6510507,821.1717786
0.011,806.6601699,821.1196742
0.01105,808.7425179,821.3258029
0.0111,806.734746,821.2733164
0.01115,808.8100931,821.4797015
0.0112,806.7861256,821.4279047
0.01125,811.4813528,821.6018777
0.0113,809.3382858,821.4924318
0.01135,813.9031996,821.6242137
0.0114,811.6511288,821.4797332
0.01145,810.8571868,821.6428923
0.0115,808.7173783,821.5891262
0.01155,810.7102672,821.7851713
0.0116,808.6050558,821.7184326
0.01165,810.6326952,821.909111
0.0117,808.5616815,821.8409013
0.01175,813.2459386,821.9985978
0.0118,811.1033988,821.8729018
0.01185,815.6928138,821.9888712
0.0119,813.482238,821.8287517
0.01195,817.9274308,821.9149426
0.012,815.6087504,821.7267015
0.01205,819.9349318,821.786675
0.0121,817.5141153,821.5725206
0.01215,821.7280029,821.6078163
0.0122,819.2111864,821.3689895
0.01225,820.7368251,821.4142679
0.0123,818.2326125,821.2122126
0.01235,822.3666329,821.2473852
0.0124,819.7722261,821.00217
0.01245,818.6616624,821.0677866
0.0125,816.2350269,820.9177181
0.01255,815.2899744,821.0521765
0.0126,813.0211352,820.9584523
