"Time","Subsystem #1|Substep|box|Boost|ILpv1","Subsystem #1|Substep|box|Node Voltages|S1) VPV1"
0.0,0.01289599084,0.06995609017
5.0E-5,0.01315639523,0.06982364829
1.0E-4,0.0128653658,0.06990383484
1.5E-4,0.01312575818,0.06985284843
2.0E-4,0.01283483251,0.06996711488
2.5E-4,0.01309549771,0.06992933787
3.0E-4,0.0128047983,0.07004916908
3.5E-4,0.01306577973,0.07001223625
4.0E-4,0.0127753262,0.07013247382
4.5E-4,0.01303662366,0.07009420039
5.0E-4,0.01274641722,0.07021395185
5.5E-4,0.01300802299,0.07017400123
6.0E-4,0.01271806182,0.07029314072
6.5E-4,0.01297996713,0.07025150345
7.0E-4,0.01269015599,0.07037011707
7.5E-4,0.01295235276,0.07032694106
8.0E-4,0.01261261953,0.07052322417
8.5E-4,0.01287547579,0.0705110851
9.0E-4,0.01258627931,0.0706415279
9.5E-4,0.01284951616,0.070598083
0.001,0.01261068963,0.07064277052
0.00105,0.01287383797,0.07055945643
0.0011,0.0126348508,0.07058874331
0.00115,0.01289777994,0.070500255
0.0012,0.01275891942,0.0703900472
0.00125,0.01302090453,0.07022304342
0.0013,0.0128311349,0.07014543122
0.00135,0.01309225186,0.0700078122
0.0014,0.01285182571,0.0700112313
0.00145,0.01311253469,0.06991930894
0.0015,0.01282182722,0.07001670363
0.00155,0.01308266406,0.06997101954
0.0016,0.01284219133,0.07001192016
0.00165,0.01310293875,0.06993549092
0.0017,0.01281223003,0.07003936978
0.00175,0.01307315911,0.06999603444
0.0018,0.01278249592,0.07011378145
0.00185,0.01304372046,0.07007494094
0.0019,0.01275314309,0.07019474894
0.00195,0.01301467663,0.07015538146
0.002,0.01282443474,0.07012861276
0.00205,0.01308553606,0.07001204684
0.0021,0.01289485314,0.06995268517
0.00215,0.01315525347,0.06982413109
0.0022,0.01306420934,0.06962631678
0.00225,0.01332314571,0.0694036954
0.0023,0.01308064376,0.0693652205
0.00235,0.01333885656,0.06926239416
0.0024,0.01304592638,0.06935322008
0.00245,0.01330424333,0.06931600828
0.0025,0.01296139699,0.06951742246
0.00255,0.0132204562,0.06952993579
0.0026,0.0128781447,0.06975235967
0.00265,0.01313811236,0.06976872963
0.0027,0.01279631234,0.069991749
0.00275,0.01305718508,0.07000290323
0.0028,0.01271591656,0.0702227515
0.00285,0.01297765929,0.07022724797
0.0029,0.01263695222,0.0704434476
0.00295,0.01289952595,0.07044136593
0.003,0.01260954737,0.07057632703
0.00305,0.01287254188,0.07053619039
0.0031,0.01263302104,0.07058236021
0.00315,0.01289594183,0.07050077302
0.0032,0.01265634453,0.0705307747
0.00325,0.01291905451,0.07044358207
0.0033,0.01267932817,0.07047100429
0.00335,0.01294180846,0.07038354525
0.0034,0.01280228264,0.07027266832
0.00345,0.01306381929,0.07010601775
0.0035,0.01287334811,0.07002737859
0.00355,0.0131340147,0.06989035961
0.0036,0.01289275914,0.06989349132
0.00365,0.01315302113,0.06980315803
0.0037,0.0128613122,0.06990149742
0.00375,0.01312171429,0.06985859897
0.0038,0.01283011142,0.06997695889
0.00385,0.01309081889,0.06994115536
0.0039,0.01274929562,0.07014201973
0.00395,0.01301071525,0.07014064994
0.004,0.01271985852,0.07027613576
0.00405,0.01298171584,0.07024188945
0.0041,0.01269113314,0.07036420703
0.00415,0.01295331197,0.07032305518
0.0042,0.01261278011,0.07052097609
0.00425,0.01287563039,0.07050997074
0.0043,0.01263598441,0.0705673113
0.00435,0.01289885818,0.07049029094
0.0044,0.01265917984,0.07052203745
0.00445,0.01292185825,0.07043566918
0.0045,0.01268206308,0.07046340423
0.00455,0.01294451483,0.07037619402
0.0046,0.01270459099,0.07040316523
0.00465,0.01296681293,0.07031639298
0.0047,0.01277692153,0.07027204389
0.00475,0.01303855282,0.07014722169
0.0048,0.01279797589,0.07015754167
0.00485,0.01305924851,0.07006711767
0.0049,0.01281844969,0.07009078067
0.00495,0.01307948117,0.07000661633
0.005,0.01283853734,0.07003243354
0.00505,0.01309934913,0.06994987463
0.0051,0.01280814704,0.07005183261
0.00515,0.01306912226,0.07000780555
0.0052,0.01277809635,0.07012570668
0.00525,0.01303936676,0.07008694491
0.0053,0.01284884962,0.07006006244
0.00535,0.01310968997,0.06994410986
0.0054,0.01281854831,0.07003220927
0.00545,0.01307943574,0.0699827242
0.0055,0.0127883356,0.07009834039
0.00555,0.01304950017,0.07005914663
0.0056,0.01275849001,0.07017919456
0.00565,0.01301996538,0.07014044448
0.0057,0.01282936965,0.07011411833
0.00575,0.01309041671,0.06999808545
0.0058,0.01284924335,0.07001097442
0.00585,0.01310996155,0.06992346699
0.0059,0.01286859511,0.06994758294
0.00595,0.01312908321,0.06986551564
0.006,0.01283734143,0.06996771771
0.00605,0.01309799854,0.0699254416
0.0061,0.0128063756,0.07004434392
0.00615,0.01306733919,0.07000768654
0.0062,0.01277593425,0.07012899414
0.00625,0.01303722091,0.07009180848
0.0063,0.01274604262,0.07021298502
0.00635,0.01300764745,0.07017422929
0.0064,0.01281706008,0.07014820892
0.00645,0.01307823736,0.07003205208
0.0065,0.01283708447,0.0700452244
0.00655,0.01309793322,0.06995747224
0.0066,0.01285659417,0.06998176386
0.00665,0.01311721239,0.06989938564
0.0067,0.012825494,0.07000163378
0.00675,0.0130862798,0.06995883961
0.0068,0.0127946857,0.07007763129
0.00685,0.0130557754,0.07004036964
0.0069,0.01271423298,0.07024071294
0.00695,0.01297602569,0.07023708677
0.007,0.01273537997,0.07029682957
0.00705,0.01299722869,0.07022476328
